證券代號,證券名稱,收盤價,漲跌幅%,類別
0050,元大台灣50,108.35,-0.41,核心自選股
2317,鴻海,240.5,0.63,核心自選股
2330,台積電,2445.0,-0.81,核心自選股
2454,聯發科,4195.0,-3.45,核心自選股
1313,聯成,14.3,10.0,價格異常
1337,再生-KY,5.61,10.0,價格異常
6969,成信實業*-創,25.85,10.0,價格異常
6753,龍德造船,154.0,10.0,價格異常
2380,虹光,22.0,10.0,價格異常
2233,宇隆,275.0,10.0,價格異常
1435,中福,29.75,-9.98,價格異常
1563,巧新,70.5,9.98,價格異常
1340,勝悅-KY,5.84,9.98,價格異常
1717,長興,81.6,9.97,價格異常
3481,群創,66.0,-2.37,成交量異常
1314,中石化,9.88,9.9,成交量異常
00631L,元大台灣50正2,38.8,-0.21,成交量異常
2409,友達,30.0,-1.64,成交量異常
00403A,主動統一升級50,11.14,0.0,成交量異常
1301,台塑,62.1,4.02,成交量異常
00981A,主動統一台股增長,32.26,0.66,成交量異常
1718,中纖,14.95,9.93,成交量異常
00632R,元大台灣50反1,9.88,-0.2,成交量異常
2344,華邦電,184.5,0.54,成交量異常
